stratID,F_small,F_med,F_large,S_small,S_med,S_large,B,Bflux,Y,Y_small,Y_med,Y_large,E,E_small,E_med,E_large,Wmean,Winfmax,propLarge,slope,intercept,r2
7843,2.797340143,1.809287671,0.562490431,0.567785628,0.654714669,0.439454524,0.89612474,0.274039937,0.516379182,0.136033268,0.346804604,0.03354131,5,2,0,3,0.961994232,414.5735248,0.054415289,-0.79236826,-7.900532977,0.795064745
7844,0.281191142,0.065958819,2.569083726,0.066290125,0.041764274,0.299649041,1.020509902,0.311713166,0.099014361,0.047550277,0.051464084,3.51E-41,9,3,0,6,1.309907461,120.0264688,0.000148956,-5.277301783,-17.47373656,0.461865029
7845,2.938592569,0.534022418,1.606945644,0.006404992,0.662351026,0.244950946,1.002936775,0.294862326,0.292951955,2.51E-111,0.292951955,1.03E-29,13,6,1,6,2.529906747,127.9452911,2.04E-06,-3.893498064,-15.19286499,0.481032449
7846,2.183688212,1.776997259,2.218142213,0.075491778,0.649928024,0.343796456,0.936842904,0.272587905,0.54961534,0.037044557,0.512570783,2.75E-26,11,5,0,6,1.912043661,180.8944453,1.36E-06,-3.498516439,-14.12126851,0.485690052
7847,2.88280984,2.998197414,1.830829846,0.69323797,0.516446722,0.099718662,0.730713166,0.16461831,0.792709658,0.583918535,0.208791123,1.09E-47,6,0,0,6,0.70246674,99.46577949,7.66E-07,-6.878504513,-20.43564003,0.461535558
7848,0.582783903,0.396698503,2.812475592,0.218944692,0.183636187,0.75712768,0.897641031,0.255434417,0.312124685,0.149837512,0.136201788,0.026085385,0,0,0,0,0.733693479,814.3597255,0.100122278,-0.738331633,-7.628595335,0.870047432
7849,1.196360739,0.778263302,0.588049835,0.580374106,0.084361174,0.750444425,0.891352108,0.246286076,0.334537232,0.265373172,1.00E-08,0.06916405,8,0,6,2,0.656579417,887.237749,0.307565852,-0.893177217,-7.934203074,0.720825781
7850,1.679089639,0.327024668,0.641243717,0.275609036,0.555682898,0.694590196,1.024400799,0.305592241,0.232641406,0.021529835,0.199399583,0.011711988,9,5,1,3,1.777356006,659.4320078,0.054653052,-0.6771242,-8.142959402,0.839885403
7851,2.611488403,2.513643703,0.556426505,0.169438365,0.840915645,0.261628867,1.040198367,0.328607423,0.264292587,0.006352036,0.25794055,2.51E-10,12,6,0,6,2.374840027,219.6601098,2.63E-06,-1.557184569,-10.17796299,0.571956838
7852,0.306486942,2.942139319,1.739595626,0.403307602,0.308631062,0.832366895,0.891579299,0.238790763,0.163487117,0.116131594,3.97E-63,0.047355523,7,0,6,1,0.573556963,986.0172022,0.271460635,-0.790993979,-7.69775879,0.840993817
7853,0.032941005,0.355506053,2.186519207,0.540041808,0.128218254,0.690612611,0.951041265,0.19555357,0.028646389,0.028646389,9.82E-11,3.60E-10,14,2,6,6,0.867400056,25.03188258,1.02E-09,-2.262722998,-12.52833785,0.755138767
7854,0.04088151,0.0697798,2.335354522,0.858547902,0.611520765,0.33160629,1.020894235,0.307524575,0.040095126,0.006522121,0.033573005,4.83E-37,9,3,0,6,1.172313036,141.3079314,0.000594345,-4.780432854,-16.33422241,0.465070806
7855,2.394395735,0.227082979,2.309856236,0.35943521,0.825354557,0.301969761,1.066309569,0.331945892,0.094165841,1.16E-27,0.094165841,1.46E-36,13,6,1,6,2.489367951,124.6193085,2.81E-06,-4.710857843,-16.86201656,0.470123771
7856,2.265389127,2.801124082,0.621605148,0.645713178,0.526192493,0.077042015,0.741771606,0.173984273,0.67969093,0.544717776,0.078620182,0.056352973,7,0,3,4,0.63167643,211.4461236,0.03863257,-1.650350219,-9.367841985,0.487311945
7857,2.717077877,2.906598328,0.27008366,0.869524217,0.57515222,0.341898556,0.873899144,0.239821421,0.302772955,0.231729258,6.98E-19,0.071043697,9,0,6,3,0.631321433,694.1626201,0.252080854,-1.019672615,-8.119042651,0.621457291
